# Oscilloscope Data

# Seconds	fp_meas.acc_i
13.850	-4.65
13.860	-4.61
13.870	-4.66
13.880	-4.65
13.890	-4.61
13.900	-4.61
13.910	-4.64
13.920	-4.66
13.930	-4.66
13.940	-4.61
13.950	-4.70
13.960	-4.65
13.970	-4.66
13.980	-4.62
13.990	-4.61
14.000	-4.64
14.010	-4.63
14.020	-4.63
14.030	-4.62
14.040	-4.61
14.050	-4.62
14.060	-4.67
14.070	-4.62
14.080	-4.67
14.090	-4.64
14.100	-4.65
14.110	-4.62
14.120	-4.66
14.130	-4.67
14.140	-4.66
14.150	-4.61
14.160	-4.67
14.170	-4.64
14.180	-4.67
14.190	-4.66
14.200	-4.64
14.210	-4.62
14.220	-4.61
14.230	-4.62
14.240	-4.65
14.250	-4.63
14.260	-4.61
14.270	-4.65
14.280	-4.63
14.290	-4.65
14.300	-4.60
14.310	-4.61
14.320	-4.65
14.330	-4.65
14.340	-4.66
14.350	-4.62
14.360	-4.64
14.370	-4.61
14.380	-4.65
14.390	-4.64
14.400	-4.63
14.410	-4.66
14.420	-4.66
14.430	-4.65
14.440	-4.62
14.450	-4.65
14.460	-4.61
14.470	-4.67
14.480	-4.64
14.490	-4.61
14.500	-4.63
14.510	-4.63
14.520	-4.66
14.530	-4.61
14.540	-4.61
14.550	-4.69
14.560	-4.64
14.570	-4.63
14.580	-4.62
14.590	-4.64
14.600	-4.59
14.610	-4.60
14.620	-4.67
14.630	-4.67
14.640	-4.65
14.650	-4.67
14.660	-4.63
14.670	-4.67
14.680	-4.62
14.690	-4.64
14.700	-4.63
14.710	-4.62
14.720	-4.63
14.730	-4.64
14.740	-4.66
14.750	-4.66
14.760	-4.61
14.770	-4.62
14.780	-4.66
14.790	-4.66
14.800	-4.68
14.810	-4.69
14.820	-4.61
14.830	-4.69
14.840	-4.61
14.850	-4.67
14.860	-4.62
14.870	-4.67
14.880	-4.61
14.890	-4.62
14.900	-4.64
14.910	-4.68
14.920	-4.64
14.930	-4.63
14.940	-4.62
14.950	-4.65
14.960	-4.64
14.970	-4.66
14.980	-4.65
14.990	-4.64
15.000	-4.62
15.010	-4.69
15.020	-4.64
15.030	-4.65
15.040	-4.64
15.050	-4.67
15.060	-4.66
15.070	-4.69
15.080	-4.60
15.090	-4.66
15.100	-4.65
15.110	-4.64
15.120	-4.62
15.130	-4.64
15.140	-4.63
15.150	-4.63
15.160	-4.62
15.170	-4.70
15.180	-4.64
15.190	-4.61
15.200	-4.63
15.210	-4.69
15.220	-4.64
15.230	-4.65
15.240	-4.63
15.250	-4.64
15.260	-4.64
15.270	-4.66
15.280	-4.65
15.290	-4.64
15.300	-4.64
15.310	-4.69
15.320	-4.66
15.330	-4.62
15.340	-4.67
15.350	-4.60
15.360	-4.61
15.370	-4.67
15.380	-4.69
15.390	-4.66
15.400	-4.63
15.410	-4.64
15.420	-4.63
